"RP"	"DANIEL Z ROMUALDEZ"
"RQ"	"AQUADILLA/BORINQUEN"
"RS"	"VYBORG"
"RW"	"KAMEMBE"
"SA"	"KING ABDULAZIZ AB"
"SB"	"ST PIERRE"
"SC"	"ROBERT L BRADSHAW"
"SE"	"SEYCHELLES INTL"
"SF"	"PORT ELIZABETH INTL"
"SG"	"LEOPOLD SEDAR SENGHOR INTL"
"SH"	"ASCENSION AUX AF"
"SI"	"LJUBLJANA/BEZIGRAD"
"SL"	"FREETOWN LUNGI"
"SN"	"PAYA LEBAR"
"SO"	"MOGADISHU"
"SP"	"LA CORUNA"
"ST"	"HEWANORRA INTL"
"SU"	"KHARTOUM"
"SV"	"ISFJORD RADIO"
"SW"	"JONKOPING"
"SX"	"GRYTVIKEN"
"SY"	"DAMASCUS INTL"
"SZ"	"ZUERICH-FLUNTERN"
"TD"	"PIARCO"
"TE"	"SERGE-FROLOW (ILE TROMELIN)"
"TH"	"CHIANG MAI INTL"
"UV"	"OUAGADOUGOU"
"UY"	"PRADO"
"UZ"	"YUZHNY"
"VC"	"E T JOSHUA"
"VE"	"LA CHINITA INTL"
"VI"	"TERRANCE B LETTSOME INTL"
"VM"	"TANSONNHAT INTL"
"VQ"	"CHRISTIANSTED/ALEX."
"WA"	"LUDERITZ (DIAZ POINT)"
"WF"	"WALLIS"
"WI"	"VILLA CISNEROS(MIL)"
"WQ"	"WAKE ISLAND AIRFLD"
"WS"	"APIA/UPOLU ISLAND"
"WZ"	"MATSAPHA"
"YM"	"ADEN KHORMAKSAR"
"ZA"	"CHIPATA"
"ZI"	"ROBERT GABRIEL MUGABE INTL /"
"IV"	"TABOU"
"IZ"	"BAGHDAD INTL AIRPORT"
"JA"	"IWOTO"
"JE"	"JERSEY"
"JM"	"NORMAN MANLEY INTL"
"JO"	"MARKA INTL"
"JQ"	"JOHNSTON ATOLL AIRPORT"
"JU"	"ILE JUAN DE NOVA"
"KE"	"MOMBASA MOI INTL"
"KG"	"NARYN"
"KN"	"PYONGYANG INTL"
"KR"	"CHRISTMAS ISLAND"
"KS"	"GIMPO"
"KT"	"CHRISTMAS ISLAND"
"KU"	"KUWAIT INTL"
"KV"	"PRISTINA"
"KZ"	"SEMIPALATINSK"
"LA"	"WATTAY INTL"
"LE"	"RAFIC HARIRI INTL"
"LG"	"MADONA"
"LH"	"KLAIPEDA"
"LI"	"MONROVIA ROBERTS INTL"
"LO"	"LIESEK"
"LQ"	"PALMYRA ISLAND"
"LS"	"VADUZ"
"LT"	"MEJAMETALANA"
"LU"	"LUXEMBOURG"
"LY"	"BENINA AIRPORT"
"MA"	"PHILIBERT TSIRANANA"
"MB"	"TRINITE CARAVELLE"
"MC"	"MACAU INTL"
"MD"	"CHISINAU"
"MF"	"DZAOUDZI PAMANDZI"
"MG"	"CHINGGIS KHAAN INTL"
"MH"	"BLACKBURNE/PLYMOUTH"
"MI"	"CHILEKA INTL"
"MJ"	"PLEVLJA"
"MK"	"SKOPJE"
"ML"	"KAYES/DAG-DAG"
"MO"	"MOHAMMED V"
"MP"	"SIR SEEWOOSAGUR RAMGOOLAM INT"
"MQ"	"HENDERSON FIELD AIRPORT"
"MR"	"ATAR"
"MT"	"LUQA"
"MU"	"SALALAH"
"MV"	"BOGUS MALDIVIAN"
"MX"	"CIUDAD VICTORIA   TAMPS."
"MY"	"SULTAN ABDUL AZIZ SHAH INTL"
"MZ"	"QUELIMANE"
"NC"	"LA TONTOUTA"
"NE"	"ALOFI"
"NF"	"NORFOLK ISLAND INTL"
"NG"	"DIORI HAMANI"
"NH"	"ANEITYUM"
"NI"	"MALLAM AMINU INTL"
"NL"	"VLISSINGEN"
"NN"	"PRINCESS JULIANA INTERNATIONA"
"NO"	"UTSIRA FYR"
"NP"	"TRIBHUVAN INTL"
"NR"	"NAURU"
"NS"	"JOHAN A PENGEL INTL"
"NT"	"HATO"
"NU"	"MANAGUA INTL"
"NZ"	"HOKITIKA AERODROME"
"OD"	"WAU"
"PA"	"SILVIO PETTIROSSI INTL"
"PC"	"PITCAIRN"
"PE"	"CAPT JOSE A  QUINONES GONZALE"
"PK"	"JINNAH INTL"
"PL"	"SZCZECIN"
"PM"	"ENRIQUE MALEK INTL"
"PN"	"JOHNSTON IS WSO AP"
"PO"	"FUNCHAL"
"PP"	"LAE"
"PS"	"BABELTHUAP/KOROR AIR"
"PU"	"BISSAU OSWALDO VIEIRA INTL"
"QA"	"DOHA INTL"
"RE"	"ST DENIS GILLOT"
"RI"	"KRALJEVO"
"RM"	"BUCHOLZ AAF KWAJALEIN KMR ATO"
"RO"	"AUREL VLAICU"
"TI"	"DUSHANBE"
"TK"	"TURKS ISLAND"
"TL"	"NUKUNONU AWS"
"TN"	"KEPPEL"
"TO"	"GNASSINGBE EYADEMA INTL"
"TP"	"SAO TOME INTL"
"TS"	"KELIBIA"
"TT"	"PRESIDENTE NICOLAU LOBATO INT"
"TU"	"ETIMESGUT"
"TV"	"FUNAFUTI INTL ARPT"
"TW"	"SUNGSHAN"
"TX"	"TURKMENBASHI"
"TZ"	"TABORA AIRPORT"
"U"	"UTQIA\u00c4 VIK FORMERLY BARROW 4"
"UC"	"HATO INTERNATIONAL AIRPORT"
"UG"	"ENTEBBE INTL"
"UK"	"DYCE"
"UP"	"LVIV INTL"
"US"	"BOISE AIR TERMINAL/GOWEN FD A"
"AA"	"REINA BEATRIX INTL"
"AC"	"COOLIDGE FIELD   ANTIGUA (AUX"
"AE"	"SHARJAH INTL"
"AF"	"ZARANJ"
"AG"	"RELIZANE"
"AJ"	"LANKARAN"
"AL"	"SAZAN ISLAND"
"AM"	"ARMAVIR"
"AO"	"LUANDA 4 DE FEVEREIRO"
"AQ"	"TAFUNA/PAGO PAGO INTERNATIONA"
"AR"	"BUENOS AIRES (OBS)"
"AS"	"CANBERRA"
"AU"	"WIEN/HOHE WARTE"
"AV"	"ANGUILLA"
"AY"	"BASE ARTURO PRAT"
"AZ"	"CORVO ISLAND"
"BA"	"BAHRAIN INTL"
"BB"	"GRANTLEY ADAMS INTL"
"BC"	"MAUN"
"BD"	"NAVAL ATLANTIC METEROLOGY & O"
"BE"	"BRUSSELS NATL"
"BF"	"ABRAHAM'S BAY   MAYAGUANA"
"BG"	"HAZRAT SHAHJALAL INTL"
"BH"	"BELIZE/LANDIVAR"
"BK"	"SARAJEVO"
"BL"	"EL ALTO INTL"
"BM"	"PUTAO"
"BN"	"CADJEHOUN"
"BO"	"PINSK"
"BP"	"HONIARA INTL"
"BR"	"GALEAO ANTONIO CARLOS JOBIM"
"CJ"	"OWEN ROBERTS AIRPORT"
"CK"	"COCOS KEELING ISLAND"
"CM"	"YAOUNDE NSIMALEN"
"CN"	"OUANI"
"CO"	"GERARDO TOBAR LOPEZ"
"CP"	"TENEIFE SUR"
"CQ"	"SAIPAN/ISLEY (CGS)"
"CS"	"LIMON INTL"
"CT"	"BANGUI M POKO"
"CU"	"CARLOS MANUEL DE CESPEDES"
"CV"	"MINDELO"
"CW"	"AITUTAKI"
"CY"	"PAFOS INTL"
"DA"	"SKAGEN"
"DJ"	"DIKHIL"
"DO"	"ROSEAU"
"DQ"	"JARVIS ISLAND"
"DR"	"SANTO DOMINGO"
"EC"	"INGUINCHO"
"EG"	"ALEXANDRIA INTL"
"EI"	"VALENTIA OBSERVATORY"
"EK"	"MALABO"
"EN"	"TARTU"
"ER"	"ASMARA INTL"
"ES"	"ILOPANGO INTL"
"ET"	"DIRE DAWA INTL"
"EU"	"ILE EUROPA"
"EZ"	"RUZYNE"
"FG"	"ROCHAMBEAU"
"FI"	"KALAJOKI ULKOKALLA"
"FJ"	"NADI INTL"
"FK"	"FOX BAY"
"FM"	"FALALOP ISLAND (CG)  ULITHI A"
"FO"	"VAGAR"
"FP"	"BORA BORA"
"FQ"	"BAKER ISLAND"
"FR"	"ESSEY"
"FS"	"ILE AMSTERDAM"
"GA"	"BANJUL INTL"
"GB"	"PORT GENTIL"
"GG"	"BATUMI"
"GH"	"KOTOKA INTL"
"GI"	"GIBRALTAR"
"GJ"	"PEARLS AIRPORT"
"GK"	"GUERNSEY"
"GL"	"SCORESBYSUND"
"GM"	"FRANKFURT MAIN"
"GP"	"LA DESIRADE"
"GQ"	"GUAM INTERNATIONAL AIRPORT"
"GR"	"IOANNIS KAPODISTRIAS INTL"
"GT"	"LA AURORA"
"GV"	"CONAKRY"
"GY"	"GEORGETOWN"
"HA"	"TOUSSAINT LOUVERTURE INTL"
"HK"	"HONG KONG INTL"
"HO"	"TONCONTIN INTL"
"HR"	"SPLIT/MARJAN"
"HU"	"DEBRECEN"
"IC"	"GRIMSEY ISLAND"
"ID"	"JAKARTA/OBSERVATORY"
"IM"	"POINT OF AYRE (LH)"
"IN"	"SAFDARJUNG"
"IO"	"DIEGO GARCIA NAVAL AIR STATIO"
"IR"	"ANZALI"
"IS"	"BEN GURION"
"IT"	"GENOVA SESTRI"
"BT"	"PARO"
"BU"	"SOFIA"
"BV"	"BOUVET ISLAND"
"BX"	"BRUNEI INTL"
"BY"	"BUJUMBURA INTL"
"CA"	"FORT NORMAN AIRPORT"
"CB"	"PHNOM PENH INTL"
"CD"	"NDJAMENA HASSAN DJAMOUS"
"CE"	"COLOMBO"
"CF"	"POINTE NOIRE"
"CG"	"KINSHASA/BINZA"
"CH"	"WUJIABA"
"CI"	"CARLOS IBANEZ DEL CAMPO INTL"
